Compound;InChIKey;SMILES;RT;LAB;DrugClass;1;2;3;4;5;Mean RT;SD;Error;Set;RT error window
U-50488;VQLPLYSROCPWFF-QZTJIDSGSA-N;ClC=1C=C(C=CC1Cl)CC(=O)N([C@H]1[C@@H](CCCC1)N1CCCC1)C;6.91;CFSRE;Opioids;6.32;6.31;6.41;6.55;6.38;6.39;0.10;-0.52;Test;-1 to -0.5 min
U-51754;ISJUYFBACBKWBV-HOTGVXAUSA-N;ClC=1C=C(C=CC1Cl)CC(=O)N(C)[C@H]1[C@@H](CCCC1)N(C)C;6.82;CFSRE;Unknown;6.78;6.64;7.07;6.66;6.80;6.79;0.17;-0.03;Train;± 0.5 min
U-62066;NYKCGQQJNVPOLU-KCZVDYSFSA-N;ClC=1C=C(C=CC1Cl)CC(=O)N([C@H]1[C@@H](C[C@@]2(CCCO2)CC1)N1CCCC1)C;6.95;CFSRE;Opioids;6.13;6.47;6.32;6.31;6.26;6.30;0.12;-0.65;Optimization;-1 to -0.5 min
U-69593;PGZRDDYTKFZSFR-ONTIZHBOSA-N;CN(C1CCC2(CCCO2)CC1N3CCCC3)C(=O)CC4=CC=CC=C4;5.62;CFSRE;Unknown;5.21;5.22;5.02;5.10;5.25;5.16;0.10;-0.46;Test;± 0.5 min
UF-17;FYMBNVYLYZOADF-UHFFFAOYSA-N;CN(C1C(CCCC1)N(C(CC)=O)C1=CC=CC=C1)C;5.61;CFSRE;Opioids;5.45;5.51;5.65;5.60;5.63;5.57;0.09;-0.04;Train;± 0.5 min
UR-144;NBMMIBNZVQFQEO-UHFFFAOYSA-N;O=C(C1=CN(CCCCC)C2=C1C=CC=C2)C3C(C)(C)C3(C)C;10.7;CFSRE;Cannabinoids;9.99;9.87;10.46;10.18;10.05;10.11;0.23;-0.59;Train;-1 to -0.5 min
UR-144 N-(5-Chloropentyl) Analogue;CKIOITGXSRFWIS-UHFFFAOYSA-N;O=C(C1=CN(CCCCCCl)C2=C1C=CC=C2)C3C(C)(C)C3(C)C;10.46;CFSRE;Cannabinoids;9.93;9.84;10.46;10.42;9.99;10.13;0.29;-0.33;Train;± 0.5 min
UR-144 N-Heptyl Analogue;VMYRYXPWWCSDCO-UHFFFAOYSA-N;O=C(C1=CN(CCCCCCC)C2=C1C=CC=C2)C3C(C)(C)C3(C)C;11.35;CFSRE;Cannabinoids;10.43;10.27;10.78;10.63;10.30;10.48;0.22;-0.87;Train;-1 to -0.5 min
UR-144 N-Pentanoic Acid;UUTHIAPDCFFQKQ-UHFFFAOYSA-N;O=C(O)CCCCN1C=C(C(C2C(C)(C)C2(C)C)=O)C3=C1C=CC=C3;9.27;CFSRE;Cannabinoids;9.31;8.94;9.22;9.11;9.11;9.14;0.14;-0.13;Train;± 0.5 min
URB-447;KGXYGMKEFDUWNB-UHFFFAOYSA-N;O=C(C1=C(C)N(CC2=CC=C(Cl)C=C2)C(C3=CC=CC=C3)=C1N)C4=CC=CC=C4;9.68;CFSRE;Cannabinoids;10.45;10.21;10.61;10.43;10.34;10.41;0.15;0.73;Test;0.5 to 1 min
Urea Fentanyl;CNNWEBFAZNLXKY-UHFFFAOYSA-N;O=C(N(C1=CC=CC=C1)C2CCN(CCC3=CC=CC=C3)CC2)N(C)C;6.39;CFSRE;Opioids;5.54;5.77;5.84;5.86;5.80;5.76;0.13;-0.63;Validation;-1 to -0.5 min
Valerylfentanyl;VCCPXHWAJYWQMR-UHFFFAOYSA-N;CCCCC(N(C1=CC=CC=C1)C2CCN(CCC3=CC=CC=C3)CC2)=O;7.17;CFSRE;Opioids;6.97;7.05;7.10;7.21;7.05;7.08;0.09;-0.09;Validation;± 0.5 min
Venlafaxine;PNVNVHUZROJLTJ-UHFFFAOYSA-N;OC1(C(C2=CC=C(OC)C=C2)CN(C)C)CCCCC1;5.78;CFSRE;Unknown;5.56;5.20;5.46;5.24;5.79;5.45;0.25;-0.33;Validation;± 0.5 min
W18;BKRSVROQVRTSND-VZCXRCSSSA-N;C1CCN(/C(=N\S(=O)(=O)C2=CC=C(C=C2)Cl)/C1)CCC3=CC=C(C=C3)[N+](=O)[O-];8.75;CFSRE;Opioids;9.48;8.72;8.52;9.43;8.83;9.00;0.43;0.25;Optimization;± 0.5 min
WIN-54,461;DUYGSAPQVOBOCS-UHFFFAOYSA-N;O=C(C1=C(C)N(CCN2CCOCC2)C3=C1C=CC(Br)=C3)C4=CC=C(OC)C=C4;8.13;CFSRE;Cannabinoids;8.28;7.96;8.23;7.86;8.22;8.11;0.19;-0.02;Train;± 0.5 min
XLR-11;PXLDPUUMIHVLEC-UHFFFAOYSA-N;O=C(C1=CN(CCCCCF)C2=C1C=CC=C2)C3C(C)(C)C3(C)C;10.02;CFSRE;Cannabinoids;9.53;9.52;10.11;10.08;9.69;9.79;0.29;-0.23;Validation;± 0.5 min
XLR-11 N-(4-Pentenyl) Analogue;NXTLUQFOTQPMOD-UHFFFAOYSA-N;O=C(C1=CN(CCCC=C)C2=C1C=CC=C2)C3C(C)(C)C3(C)C;10.5;CFSRE;Cannabinoids;9.72;9.63;10.23;10.00;9.79;9.87;0.24;-0.63;Optimization;-1 to -0.5 min
XLR-12;PEXYKZYTXIEEOB-UHFFFAOYSA-N;O=C(C1C(C)(C)C1(C)C)C2=CN(CCCC(F)(F)F)C3=C2C=CC=C3;10.21;CFSRE;Cannabinoids;9.85;9.77;10.37;10.21;9.97;10.04;0.25;-0.17;Train;± 0.5 min
Yohimbine;BLGXFZZNTVWLAY-SCYLSFHTSA-N;COC(=O)C1C(CCC2C1CC3C4=C(CCN3C2)C5=CC=CC=C5N4)O;5.32;CFSRE;Plants & extracts;5.20;5.52;5.33;5.26;5.10;5.28;0.16;-0.04;Train;± 0.5 min
Zonisamide;UBQNRHZMVUUOMG-UHFFFAOYSA-N;NS(=O)(=O)CC1=NOC2=CC=CC=C12;4.59;CFSRE;Unknown;4.41;4.43;4.61;4.55;4.44;4.49;0.09;-0.10;Train;± 0.5 min
a-Methylacetyl Fentanyl;OKTLVZBUKMRPLL-UHFFFAOYSA-N;CC(N(C1=CC=CC=C1)C2CCN(C(C)CC3=CC=CC=C3)CC2)=O;5.95;CFSRE;Opioids;5.91;6.01;6.09;6.08;6.03;6.02;0.07;0.07;Optimization;± 0.5 min
alpha'-Methyl Butyrylfentanyl;DRAWSQJHCQAWNN-UHFFFAOYSA-N;CC(C(=O)N(C1CCN(CC1)CCC1=CC=CC=C1)C1=CC=CC=C1)CC;7.11;CFSRE;Opioids;7.01;7.09;7.16;7.21;7.12;7.12;0.07;0.01;Train;± 0.5 min
alpha-Methyl fentanyl;NGTVDHYUFBKWID-UHFFFAOYSA-N;CCC(N(C1CCN(C(C)CC2=CC=CC=C2)CC1)C3=CC=CC=C3)=O;6.36;CFSRE;Opioids;6.54;6.65;6.68;6.74;6.64;6.65;0.07;0.29;Optimization;± 0.5 min
alpha-PCYP;FKEHRWJWTWDTDB-UHFFFAOYSA-N;C1(CCCCC1)C(C(=O)C1=CC=CC=C1)N1CCCC1;6.44;CFSRE;Cathinones;6.29;6.31;6.38;6.52;6.17;6.33;0.13;-0.11;Train;± 0.5 min
alpha-PiHP;UOZWZANRCOALQL-UHFFFAOYSA-N;CC(CC(C(=O)C1=CC=CC=C1)N1CCCC1)C;5.79;CFSRE;Cathinones;5.55;5.56;5.68;5.80;5.37;5.59;0.16;-0.20;Train;± 0.5 min
b-Hydroxythiofentanyl;GLAAETOTOUGGSB-UHFFFAOYSA-N;CCC(N(C1CCN(CC(O)C2=CC=CS2)CC1)C3=CC=CC=C3)=O;5.66;CFSRE;Opioids;5.28;5.62;5.58;5.39;5.39;5.45;0.14;-0.21;Test;± 0.5 min
beta-Hydroxy Fentanyl;JEFVHLMGRUJLET-UHFFFAOYSA-N;CCC(N(C1CCN(CC(O)C2=CC=CC=C2)CC1)C3=CC=CC=C3)=O;5.91;CFSRE;Opioids;5.43;5.61;6.00;5.47;5.47;5.60;0.23;-0.31;Validation;± 0.5 min
beta-Methyl fentanyl;UXIGUKSHASXDNI-UHFFFAOYSA-N;CCC(N(C1=CC=CC=C1)C2CCN(CC(C3=CC=CC=C3)C)CC2)=O;6.58;CFSRE;Opioids;6.55;6.62;6.63;6.75;6.60;6.63;0.08;0.05;Train;± 0.5 min
bk-EABDI;VJXZPPKMTRTYIH-UHFFFAOYSA-N;CCC(NCC)C(C1=CC2=C(CCC2)C=C1)=O;6.17;CFSRE;Cathinones;6.01;6.16;6.36;6.29;5.95;6.15;0.18;-0.02;Train;± 0.5 min
mCPP;VHFVKMTVMIZMIK-UHFFFAOYSA-N;ClC1=CC(N2CCNCC2)=CC=C1;5;CFSRE;Piperazine derivates;5.06;5.05;5.45;4.97;4.47;5.00;0.35;0.00;Train;± 0.5 min
meta-Fluorofuranylfentanyl;NLTYWPGXHYUTRN-UHFFFAOYSA-N;FC=1C=C(C=CC1)N(C(=O)C=1OC=CC1)C1CCN(CC1)CCC1=CC=CC=C1;6.31;CFSRE;Opioids;6.39;6.59;6.45;6.45;6.38;6.45;0.08;0.14;Validation;± 0.5 min
ortho-Fluorofuranylfentanyl;QAURJPLHDYKGHY-UHFFFAOYSA-N;FC1=C(C=CC=C1)N(C(=O)C=1OC=CC1)C1CCN(CC1)CCC1=CC=CC=C1;6.31;CFSRE;Opioids;6.39;6.59;6.45;6.45;6.38;6.45;0.08;0.14;Test;± 0.5 min
ortho-Isopropyl Furanylfentanyl;AYVSHUVVWFNBHR-UHFFFAOYSA-N;O=C(C1=CC=CO1)N(C2=CC=CC=C2C(C)C)C3CCN(CCC4=CC=CC=C4)CC3;7.38;CFSRE;Opioids;7.42;7.07;7.17;7.33;7.31;7.26;0.14;-0.12;Test;± 0.5 min
ortho-Methoxy Furanylfentanyl;DCDCWVRDPIOMBB-UHFFFAOYSA-N;O=C(C1=CC=CO1)N(C2=CC=CC=C2OC)C3CCN(CCC4=CC=CC=C4)CC3;6.49;CFSRE;Opioids;6.57;6.46;6.41;6.46;6.33;6.44;0.09;-0.05;Optimization;± 0.5 min
ortho-Methyl Acrylfentanyl;OGVFVSLKWMUIGR-UHFFFAOYSA-N;C=CC(N(C1CCN(CCC2=CC=CC=C2)CC1)C3=CC=CC=C3C)=O;6.51;CFSRE;Opioids;6.56;6.73;6.79;6.81;6.74;6.73;0.10;0.22;Optimization;± 0.5 min
ortho-Methyl Furanylfentanyl;BFKNHOZXFOQILA-UHFFFAOYSA-N;O=C(C1=CC=CO1)N(C2CCN(CCC3=CC=CC=C3)CC2)C4=CC=CC=C4C;6.66;CFSRE;Opioids;6.67;6.64;6.59;6.66;6.61;6.64;0.03;-0.02;Train;± 0.5 min
ortho-Methylacetyl Fentanyl;GRDWUDZBHWHLSH-UHFFFAOYSA-N;CC(N(C1=CC=CC=C1C)C2CCN(CCC3=CC=CC=C3)CC2)=O;6.09;CFSRE;Opioids;5.98;6.09;6.18;6.16;6.06;6.09;0.08;0.00;Validation;± 0.5 min
ortho-Methylmethoxyacetylfentanyl;JJNJJOPCUJRZRG-UHFFFAOYSA-N;COCC(=O)N(c1ccccc1C)C1CCN(CC1)CCc1ccccc1;6;CFSRE;Opioids;5.93;5.80;6.04;5.90;5.90;5.91;0.09;-0.09;Train;± 0.5 min
para-Chloro Acrylfentanyl;CSFZVPAQJHDOCD-UHFFFAOYSA-N;C=CC(N(C1=CC=C(Cl)C=C1)C2CCN(CCC3=CC=CC=C3)CC2)=O;6.78;CFSRE;Opioids;6.63;6.74;6.80;6.84;6.77;6.76;0.08;-0.02;Train;± 0.5 min
para-Chloro Cyclopentylfentanyl;SJMSXMAHJSSXOR-UHFFFAOYSA-N;O=C(C1CCCC1)N(C2=CC=C(Cl)C=C2)C3CCN(CCC4=CC=CC=C4)CC3;7.91;CFSRE;Opioids;7.55;7.37;7.52;7.69;7.60;7.55;0.12;-0.36;Optimization;± 0.5 min
para-Chloro Cyclopropylfentanyl;IPGLBSCVAGTNBX-UHFFFAOYSA-N;O=C(C1CC1)N(C2=CC=C(Cl)C=C2)C3CCN(CCC4=CC=CC=C4)CC3;7.07;CFSRE;Opioids;6.78;6.85;6.90;7.00;6.85;6.88;0.08;-0.19;Train;± 0.5 min
para-Chloro Furanylfentanyl;AZXDRBNBIMRBJI-UHFFFAOYSA-N;O=C(C1=CC=CO1)N(C2=CC=C(Cl)C=C2)C3CCN(CCC4=CC=CC=C4)CC3;6.92;CFSRE;Opioids;6.83;6.82;6.79;6.87;6.87;6.84;0.03;-0.08;Validation;± 0.5 min
para-Chloro Valerylfentanyl;FCGXDEMTTPNXQP-UHFFFAOYSA-N;CCCCC(N(C1=CC=C(Cl)C=C1)C2CCN(CCC3=CC=CC=C3)CC2)=O;7.83;CFSRE;Opioids;7.48;7.32;7.46;7.62;7.58;7.49;0.12;-0.34;Test;± 0.5 min
para-Chlorobutyryl Fentanyl;YRAMWTYYYLTADR-UHFFFAOYSA-N;CCCC(N(C1=CC=C(Cl)C=C1)C2CCN(CCC3=CC=CC=C3)CC2)=O;7.28;CFSRE;Opioids;7.10;7.12;7.15;7.31;7.17;7.17;0.08;-0.11;Validation;± 0.5 min
para-Fluoro Acetylfentanyl;OXKSBDHHJOPFAH-UHFFFAOYSA-N;FC1=CC=C(C=C1)N(C(C)=O)C1CCN(CC1)CCC1=CC=CC=C1;5.89;CFSRE;Opioids;5.63;5.75;5.85;5.80;5.77;5.76;0.08;-0.13;Train;± 0.5 min
para-Fluoro Cyclopropylfentanyl;CGLWFPGHBIADCN-UHFFFAOYSA-N;O=C(C1CC1)N(C2=CC=C(F)C=C2)C3CCN(CCC4=CC=CC=C4)CC3;6.6;CFSRE;Opioids;6.36;6.50;6.54;6.56;6.48;6.49;0.08;-0.11;Train;± 0.5 min
para-Fluoro Valerylfentanyl;LRGKRSJHHVAEAD-UHFFFAOYSA-N;CCCCC(N(C1=CC=C(F)C=C1)C2CCN(CCC3=CC=CC=C3)CC2)=O;7.38;CFSRE;Opioids;7.09;7.16;7.18;7.32;7.16;7.18;0.09;-0.20;Train;± 0.5 min
para-Fluoroacryl Fentanyl;ZTLLQVADDIYHJU-UHFFFAOYSA-N;C=CC(N(C1=CC=C(F)C=C1)C2CCN(CCC3=CC=CC=C3)CC2)=O;6.28;CFSRE;Opioids;6.20;6.36;6.47;6.47;6.33;6.37;0.11;0.09;Optimization;± 0.5 min
para-Fluorobutyryl Fentanyl;QZFMCYUBPSLOBP-UHFFFAOYSA-N;CCCC(N(C1=CC=C(F)C=C1)C2CCN(CCC3=CC=CC=C3)CC2)=O;6.81;CFSRE;Opioids;6.69;6.78;6.81;6.92;6.77;6.79;0.08;-0.02;Train;± 0.5 min
para-Fluorocyclopropylbenzylfentanyl;DGFCHXNCEJHFDB-UHFFFAOYSA-N;O=C(C1CC1)N(C2CCN(CC3=CC=CC=C3)CC2)C4=CC=C(F)C=C4;6.49;CFSRE;Opioids;6.09;6.19;6.26;6.25;6.18;6.19;0.07;-0.30;Test;± 0.5 min
para-Fluorofentanyl;KXUBAVLIJFTASZ-UHFFFAOYSA-N;CCC(N(C1=CC=C(F)C=C1)C2CCN(CCC3=CC=CC=C3)CC2)=O;6.35;CFSRE;Opioids;6.22;6.34;6.42;6.41;6.33;6.34;0.08;-0.01;Train;± 0.5 min
para-Fluorofuranylfentanyl;MGEQOAJOFFXWTR-UHFFFAOYSA-N;FC1=CC=C(C=C1)N(C(=O)C=1OC=CC1)C1CCN(CC1)CCC1=CC=CC=C1;6.31;CFSRE;Opioids;6.39;6.59;6.45;6.45;6.38;6.45;0.08;0.14;Validation;± 0.5 min
para-Methoxy Acrylfentanyl;OPFSSCQJIGSMRG-UHFFFAOYSA-N;C=CC(N(C1=CC=C(OC)C=C1)C2CCN(CCC3=CC=CC=C3)CC2)=O;6.34;CFSRE;Opioids;6.07;6.02;6.33;6.10;6.10;6.12;0.12;-0.22;Optimization;± 0.5 min
para-Methoxy Fentanyl;QKQAUPIOVFHVJI-UHFFFAOYSA-N;CCC(N(C1=CC=C(OC)C=C1)C2CCN(CCC3=CC=CC=C3)CC2)=O;6.45;CFSRE;Opioids;6.05;6.17;6.38;6.10;6.08;6.16;0.13;-0.29;Train;± 0.5 min
para-Methoxy Methoxyacetylfentanyl;UYPGPJKUKWRQGQ-UHFFFAOYSA-N;COCC(=O)N(c1ccc(cc1)OC)C1CCN(CC1)CCc1ccccc1;5.86;CFSRE;Opioids;5.60;5.69;5.88;5.69;5.51;5.68;0.14;-0.18;Train;± 0.5 min
para-Methoxyfuranylfentanyl;JCCKUDBCTLAHGQ-UHFFFAOYSA-N;O=C(C1=CC=CO1)N(C2=CC=C(OC)C=C2)C3CCN(CCC4=CC=CC=C4)CC3;6.47;CFSRE;Opioids;6.57;6.46;6.41;6.46;6.32;6.44;0.09;-0.03;Validation;± 0.5 min
para-Methyl AP-237;KILDQGNPVSPXPA-GQCTYLIASA-N;C1(=CC=C(C=C1)/C=C/CN1CCN(CC1)C(CCC)=O)C;6.06;CFSRE;Opioids;5.51;5.54;5.75;5.82;5.71;5.67;0.14;-0.39;Optimization;± 0.5 min
para-Methyl Acrylfentanyl;PAGSZSGDIQRYHE-UHFFFAOYSA-N;C=CC(N(C1CCN(CCC2=CC=CC=C2)CC1)C3=CC=C(C)C=C3)=O;6.69;CFSRE;Opioids;6.56;6.73;6.79;6.81;6.74;6.73;0.10;0.04;Train;± 0.5 min
para-Methyl Fentanyl;XHWYYMNEJCMADF-UHFFFAOYSA-N;CCC(N(C1=CC=C(C)C=C1)C2CCN(CCC3=CC=CC=C3)CC2)=O;6.8;CFSRE;Opioids;6.58;6.72;6.76;6.81;6.71;6.71;0.08;-0.09;Validation;± 0.5 min
para-Methyl Isobutyrylfentanyl;SVTFAGUOPSJFBQ-UHFFFAOYSA-N;CC(C)C(N(C1CCN(CCC2=CC=CC=C2)CC1)C3=CC=C(C)C=C3)=O;7.2;CFSRE;Opioids;7.04;7.12;7.20;7.24;7.19;7.16;0.08;-0.04;Optimization;± 0.5 min
para-Methyl Tetrahydrofuranylfentanyl;XFSPASILKQGTMK-UHFFFAOYSA-N;C(CC1=CC=CC=C1)N1CCC(CC1)N(C(=O)C1OCCC1)C1=CC=C(C=C1)C;6.49;CFSRE;Opioids;6.29;6.34;6.41;6.41;6.28;6.35;0.06;-0.14;Validation;± 0.5 min
para-Methylacetyl Fentanyl;JNQPTABAZAHVEN-UHFFFAOYSA-N;CC1=CC=C(C=C1)N(C(C)=O)C1CCN(CC1)CCC1=CC=CC=C1;6.3;CFSRE;Opioids;5.98;6.09;6.18;6.16;6.06;6.09;0.08;-0.21;Test;± 0.5 min
para-Methylcyclopropylfentanyl;HVDSXTDEYBCMRJ-UHFFFAOYSA-N;C(CC1=CC=CC=C1)N1CCC(CC1)N(C(=O)C1CC1)C1=CC=C(C=C1)C;6.96;CFSRE;Opioids;6.70;6.86;6.87;6.90;6.84;6.83;0.08;-0.13;Train;± 0.5 min
para-methoxyacetylfentanyl;MEAAIIUNOQOZBW-UHFFFAOYSA-N;CC(N(C1=CC=C(OC)C=C1)C2CCN(CCC3=CC=CC=C3)CC2)=O;5.98;CFSRE;Opioids;5.48;5.70;6.03;5.53;5.50;5.65;0.23;-0.33;Optimization;± 0.5 min
